t,qx,qy,qz,qw,ax,ay,az,gx,gy,gz
1203.783696,-0.637022,0.767878,-0.009745,-0.066872,1.519900,0.949157,-13.134010,0.000830,-0.000096,-0.002948
1203.804394,-0.637037,0.767935,-0.010118,-0.066012,1.495759,0.867781,-13.114587,-0.000234,-0.000096,-0.000819
1203.827023,-0.637008,0.767976,-0.010601,-0.065744,1.514187,0.872104,-13.046506,-0.000234,0.002033,0.001309
1203.848215,-0.636956,0.767954,-0.011232,-0.066392,1.573886,0.888296,-13.072529,-0.000234,0.000968,-0.000819
1203.868883,-0.637044,0.767887,-0.010062,-0.066512,1.488717,0.969599,-13.090855,-0.000234,0.000968,-0.002948
1203.890081,-0.637059,0.767930,-0.010803,-0.065745,1.513207,0.835092,-13.078130,-0.000234,-0.000096,-0.004012
1203.910748,-0.637116,0.767878,-0.009987,-0.065926,1.494893,0.945025,-13.108549,0.000830,0.000968,-0.001884
1203.932009,-0.637039,0.767860,-0.010487,-0.066801,1.576911,0.922491,-13.098872,-0.000234,0.002033,0.002373
1203.952678,-0.637033,0.767845,-0.010763,-0.066980,1.552186,0.906926,-13.051529,0.001894,0.000968,-0.001884
1203.973493,-0.637154,0.767841,-0.009979,-0.066001,1.435342,0.910493,-13.092390,0.000830,-0.000096,-0.005076
1203.994854,-0.637129,0.767930,-0.011111,-0.065008,1.507782,0.765463,-13.113204,-0.001298,0.002033,-0.000819
1204.015578,-0.637092,0.767883,-0.011086,-0.065935,1.556632,0.914231,-13.092061,0.000830,0.003097,0.001309
1204.036904,-0.637120,0.767802,-0.010216,-0.066742,1.524074,0.964299,-13.022967,-0.003427,0.003097,-0.000819
1204.057578,-0.637092,0.767734,-0.010193,-0.067779,1.580274,0.964484,-13.061454,-0.000234,0.003097,-0.000819
1204.078357,-0.637117,0.767793,-0.010768,-0.066775,1.521231,0.848616,-13.111698,0.000830,-0.001160,-0.002948
1204.099636,-0.637208,0.767794,-0.009949,-0.066024,1.456606,0.924141,-13.121959,0.001894,-0.000096,-0.001884
1204.120279,-0.637151,0.767783,-0.010104,-0.066681,1.544754,0.929997,-13.044493,0.000830,0.002033,0.003437
1204.141650,-0.637130,0.767777,-0.010793,-0.066839,1.560633,0.890644,-13.074263,-0.001298,0.003097,-0.002948
1204.162278,-0.637181,0.767792,-0.010672,-0.066204,1.503892,0.886843,-13.122283,-0.002363,0.002033,-0.002948
1204.183402,-0.637140,0.767752,-0.010202,-0.067127,1.552562,0.964101,-13.074233,-0.001298,0.002033,0.004502
1204.204036,-0.637109,0.767753,-0.010742,-0.067314,1.564328,0.903704,-13.037923,0.000830,0.000968,-0.000819
1204.226711,-0.637188,0.767739,-0.010326,-0.066791,1.510817,0.919795,-13.106897,0.001894,-0.000096,-0.004012
1204.248124,-0.637202,0.767836,-0.010848,-0.065456,1.467847,0.800865,-13.094745,-0.000234,0.000968,0.000245
